"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Eric Riley","1994","1999","C","7-0","245","June 2 1970","Michigan"
"Pat Riley*","1968","1976","G-F","6-4","205","March 20 1945","Kentucky"
"Ron Riley","1973","1976","F","6-8","195","November 11 1950","USC"
"Grant Riller","2021","2021","G","6-2","190","February 8 1997","College of Charleston"
"Rich Rinaldi","1972","1974","G","6-3","195","August 3 1949","Saint Peter's College"
"Mike Riordan","1969","1977","G-F","6-4","200","July 9 1945","Providence"
"Arnie Risen*","1949","1958","C-F","6-9","200","October 9 1924","Ohio State"
"Tex Ritter","1949","1951","G-F","6-2","185","February 26 1924","Eastern Kentucky University"
"Ramón Rivas","1989","1989","F-C","6-10","260","June 3 1966","Temple"
"Austin Rivers","2013","2022","G","6-4","200","August 1 1992","Duke"
"David Rivers","1989","1992","G","6-0","170","January 20 1965","Notre Dame"
"Doc Rivers","1984","1996","G","6-4","185","October 13 1961","Marquette"
"Lee Robbins","1948","1949","F","6-3","175","February 11 1922","Colorado"
"Red Robbins","1968","1975","F-C","6-8","190","September 30 1944","Tennessee"
"Andre Roberson","2014","2021","G-F","6-7","210","December 4 1991","Colorado"
"Anthony Roberson","2006","2009","G","6-2","180","February 14 1983","Florida"
"Rick Roberson","1970","1976","C-F","6-9","231","July 7 1947","Cincinnati"
"Terrance Roberson","2001","2001","F","6-7","215","December 30 1976","Fresno State"
"Anthony Roberts","1978","1984","F-G","6-5","185","April 15 1955","Oral Roberts"
"Bill Roberts","1949","1950","C","6-9","210","March 13 1925","Wyoming"
"Brian Roberts","2013","2017","G","6-1","173","December 3 1985","Dayton"
"Fred Roberts","1984","1997","F-C","6-10","218","August 14 1960","BYU"
"Joe Roberts","1961","1968","F","6-6","214","May 18 1936","Ohio State"
"Lawrence Roberts","2006","2007","F","6-9","240","October 20 1982","Baylor Mississippi State"
"Marv Roberts","1972","1977","F-C","6-8","200","January 29 1950","Utah State University"
"Stanley Roberts","1992","2000","C","7-0","285","February 7 1970","LSU"
"Alvin Robertson","1985","1996","G","6-4","185","July 22 1962","Arkansas"
"Oscar Robertson*","1961","1974","G-F","6-5","205","November 24 1938","Cincinnati"
"Ryan Robertson","2000","2000","G","6-5","190","October 2 1976","Kansas"
"Tony Robertson","1978","1979","G","6-4","195","January 1 1956","West Virginia"
"Rick Robey","1979","1986","C-F","6-11","230","January 30 1956","Kentucky"
"Bernard Robinson","2005","2007","G-F","6-6","210","December 26 1980","Michigan"
"Chris Robinson","1997","1998","G","6-5","200","April 2 1974","Western Kentucky"
"Cliff Robinson","1980","1992","F","6-9","220","March 13 1960","USC"
"Clifford Robinson","1990","2007","F-C","6-10","225","December 16 1966","UConn"
"David Robinson*","1990","2003","C","7-1","235","August 6 1965","United States Naval Academy"
"Devin Robinson","2018","2019","F","6-8","200","March 7 1995","Florida"
"Duncan Robinson","2019","2022","G-F","6-7","215","April 22 1994","Williams Michigan"
"Eddie Robinson","2000","2004","G-F","6-8","210","April 19 1976","University of Central Oklahoma"
"Flynn Robinson","1967","1974","G","6-1","185","April 28 1941","Wyoming"
"Glenn Robinson","1995","2005","F","6-7","225","January 10 1973","Purdue"
"Glenn Robinson III","2015","2021","G-F","6-6","222","January 8 1994","Michigan"
"Jackie Robinson","1979","1982","F","6-6","210","May 20 1955","UNLV"
"Jamal Robinson","2001","2001","F","6-7","212","December 27 1973","Virginia"
"James Robinson","1994","2001","G","6-2","180","August 31 1970","Alabama"
"Jerome Robinson","2019","2021","G","6-4","190","February 22 1997","Boston College"
"Justin Robinson","2020","2022","G","6-1","195","October 12 1997","Virginia Tech"
"Larry Robinson","1991","2002","F-G","6-3","180","January 11 1968","Centenary (LA)"
"Mitchell Robinson","2019","2022","C","7-0","240","April 1 1998","Western Kentucky"
"Nate Robinson","2006","2016","G","5-9","180","May 31 1984","Washington"
"Oliver Robinson","1983","1983","G","6-4","180","March 13 1960","UAB"
"Ronnie Robinson","1974","1975","F","6-8","200","March 9 1951","Memphis"
"Rumeal Robinson","1991","1997","G","6-2","195","November 13 1966","Michigan"
"Samuel Robinson","1971","1972","F","6-7","190","January 1 1948","Cal State Long Beach"
"Thomas Robinson","2013","2017","F","6-10","237","March 17 1991","Kansas"
"Truck Robinson","1975","1985","F-C","6-7","225","October 4 1951","Tennessee State"
"Wayne Robinson","1981","1981","F","6-8","217","April 19 1958","Virginia Tech"
"Wilbert Robinson","1974","1974","G","6-2","175","December 25 1949","West Virginia"
"Jeremiah Robinson-Earl","2022","2022","F","6-9","230","November 3 2000","Villanova"
"Bill Robinzine","1976","1982","F","6-7","230","January 20 1953","DePaul"
"Dave Robisch","1972","1984","C-F","6-10","235","December 22 1949","Kansas"
"Isaiah Roby","2020","2022","F","6-8","230","February 3 1998","Nebraska"
"Red Rocha","1948","1957","C-F","6-9","185","September 18 1923","Oregon State"
"John Roche","1972","1982","G","6-3","170","September 26 1949","South Carolina"
"Gene Rock","1948","1948","G","5-9","155","November 4 1921","USC"
"Jack Rocker","1948","1948","C-F","6-5","185","August 12 1922","California"
"Guy Rodgers*","1959","1970","G","6-0","185","September 1 1935","Temple"
"Dennis Rodman*","1987","2000","F","6-7","210","May 13 1961","Southeastern Oklahoma State University"
"Sergio Rodríguez","2007","2017","G","6-3","176","June 12 1986",""
"Lou Roe","1996","1997","F","6-7","220","July 14 1972","UMass"
"Carlos Rogers","1995","2002","C-F","6-11","220","February 6 1971","Little Rock Tennessee State"
"Harry Rogers","1976","1976","F","6-7","195","December 31 1950","Saint Louis"
"Johnny Rogers","1987","1988","F-C","6-10","225","December 30 1963","Stanford University of California Irvine"
"Marshall Rogers","1977","1977","G","6-1","190","August 27 1953","University of Texas Rio Grande Valley"
"Rodney Rogers","1994","2005","F","6-7","235","June 20 1971","Wake Forest"
"Roy Rogers","1997","2000","F","6-10","235","August 19 1973","Alabama"
"Willie Rogers","1969","1969","G-F","6-3","185","September 11 1945","Oklahoma"
"Al Roges","1954","1955","G-F","6-4","195","October 25 1930","Long Island University"
"Ken Rohloff","1964","1964","G","6-0","195","April 18 1939","NC State"
"Kenny Rollins","1949","1953","G","6-0","168","September 14 1923","Kentucky"
"Phil Rollins","1959","1961","G","6-2","185","January 19 1934","Louisville"
"Tree Rollins","1978","1995","C","7-1","235","June 16 1955","Clemson"
"Lorenzo Romar","1981","1985","G","6-1","175","November 13 1958","Washington"
"Rajon Rondo","2007","2022","G","6-1","180","February 22 1986","Kentucky"
"Jerry Rook","1970","1970","F","6-5","219","October 27 1943","Arkansas State University"
"Sean Rooks","1993","2004","C","6-10","250","September 9 1969","Arizona"
"Derrick Rose","2009","2022","G","6-2","200","October 4 1988","Memphis"
"Jalen Rose","1995","2007","G-F","6-8","210","January 30 1973","Michigan"
"Malik Rose","1997","2009","F-C","6-7","250","November 23 1974","Drexel"
"Rob Rose","1989","1989","G","6-5","180","December 27 1964","George Mason"
"Petey Rosenberg","1947","1947","G","5-10","165","April 7 1918","Saint Joseph's"
"Lennie Rosenbluth","1958","1959","F","6-4","190","January 22 1933","UNC"
"Hank Rosenstein","1947","1947","F","6-4","185","June 16 1920","City College of New York"
"Dick Rosenthal","1955","1957","F-G","6-5","205","January 20 1930","Notre Dame"
"Quinton Ross","2005","2011","G","6-6","195","April 30 1981","SMU"
"Terrence Ross","2013","2022","F-G","6-6","206","February 5 1991","Washington"
"Doug Roth","1990","1990","C","6-11","255","August 24 1967","Tennessee"
"Scott Roth","1988","1990","F","6-8","212","June 3 1963","Wisconsin"
"Irv Rothenberg","1947","1949","C","6-7","215","December 31 1921","Long Island University"
"Mickey Rottner","1947","1948","G","5-10","180","March 23 1919","Loyola Chicago"
"Dan Roundfield","1976","1987","F-C","6-8","205","May 26 1953","Central Michigan University"
"Giff Roux","1947","1949","F-C","6-5","195","June 28 1923","Kansas"
"Ron Rowan","1987","1987","G","6-5","200","April 23 1962","Notre Dame St. John's"
"Curtis Rowe","1972","1979","F","6-7","225","July 2 1949","UCLA"
"Jim Rowinski","1989","1990","F-C","6-8","250","January 4 1961","Purdue"
"Derrick Rowland","1986","1986","G","6-5","195","June 21 1959","State University of New York at Potsdam"
"Brian Rowsom","1988","1990","F","6-9","220","October 23 1965","UNC Wilmington"
"Brandon Roy","2007","2013","G","6-6","215","July 23 1984","Washington"
"Donald Royal","1990","1998","F","6-8","210","May 22 1966","Notre Dame"
"Reggie Royals","1975","1975","C","6-10","200","September 18 1950","Florida State"
"Bob Royer","1950","1950","G","5-10","155","October 15 1927","Indiana State University"
"Clifford Rozier","1995","1998","C-F","6-11","245","October 31 1972","UNC Louisville"
"Terry Rozier","2016","2022","G","6-1","190","March 17 1994","Louisville"
"Ricky Rubio","2012","2022","G","6-2","190","October 21 1990",""
"Guy Rucker","2003","2003","F-C","6-11","265","July 27 1977","Iowa"
"Delaney Rudd","1990","1993","G","6-2","180","November 8 1962","Wake Forest"
"John Rudd","1979","1979","F","6-7","230","August 7 1955","McNeese State University"
"Damjan Rudež","2015","2017","F","6-10","228","June 17 1986",""
"John Rudometkin","1963","1965","F","6-6","205","June 6 1940","USC"
"Michael Ruffin","2000","2009","F","6-9","246","January 21 1977","Tulsa"
"Trevor Ruffin","1995","1996","G","6-1","185","September 26 1970","Hawaii"
"Paul Ruffner","1971","1976","C-F","6-10","225","October 15 1948","BYU"
"Joe Ruklick","1960","1962","F-C","6-9","220","August 3 1938","Northwestern"
"Jeff Ruland","1982","1993","C-F","6-10","240","December 16 1958","Iona College"
"Bob Rule","1968","1975","C-F","6-9","220","June 29 1944","Colorado State"
"Jerry Rullo","1947","1950","G","5-10","165","June 23 1923","Temple"
"Stefano Rusconi","1996","1996","C-F","6-9","240","October 2 1968",""
"Brandon Rush","2009","2017","G-F","6-6","220","July 7 1985","Kansas"
"Kareem Rush","2003","2010","G","6-6","215","October 30 1980","Missouri"
"Bill Russell*","1957","1969","C","6-10","215","February 12 1934","San Francisco"
"Bryon Russell","1994","2006","F","6-7","225","December 31 1970","Cal State Long Beach"
"Campy Russell","1975","1985","F","6-8","215","January 12 1952","Michigan"
"Cazzie Russell","1967","1978","F-G","6-5","218","June 7 1944","Michigan"
"D'Angelo Russell","2016","2022","G","6-4","193","February 23 1996","Ohio State"
"Frank Russell","1973","1973","G","6-3","180","April 17 1949","Detroit Mercy"
"Pierre Russell","1972","1973","F-G","6-4","190","December 13 1949","Kansas"
"Rubin Russell","1968","1968","G","6-2","180","November 7 1944","University of North Texas"
"Walker Russell","1983","1988","G","6-5","195","October 26 1960","Houston Western Michigan"
"Walker Russell","2012","2012","G","6-0","170","October 6 1982","Jacksonville State University"
"Arvydas Sabonis*","1996","2003","C","7-3","279","December 19 1964",""
"Domantas Sabonis","2017","2022","F-C","6-11","240","May 3 1996","Gonzaga"
"Robert Sacre","2013","2016","C","7-0","270","June 6 1989","Gonzaga"
"Ed Sadowski","1947","1950","C","6-5","240","July 11 1917","Seton Hall"
"Kenny Sailors","1947","1951","G","5-10","175","January 14 1921","Wyoming"
"John Salley","1987","2000","F-C","6-11","230","May 16 1964","Georgia Tech"
"John Salmons","2003","2015","G","6-7","210","December 12 1979","Miami (FL)"
"Al Salvadori","1968","1968","F","6-9","220","May 6 1945","South Carolina"
"Kevin Salvadori","1997","1998","C","7-0","231","December 30 1970","UNC"
"Soumaila Samake","2001","2003","C","7-0","230","March 18 1978",""
"Luka Šamani?","2020","2021","F","6-10","227","January 9 2000",""
"Cheikh Samb","2008","2009","C","7-1","245","October 22 1984",""
"Brandon Sampson","2019","2019","G","6-5","184","May 1 1997","LSU"
"JaKarr Sampson","2015","2021","G-F","6-7","214","March 20 1993","St. John's"
"Jamal Sampson","2003","2007","F-C","6-11","235","May 15 1983","California"
"Ralph Sampson*","1984","1992","C-F","7-4","228","July 7 1960","Virginia"
"Samardo Samuels","2011","2013","F","6-9","260","January 9 1989","Louisville"
"Pepe Sánchez","2001","2003","G","6-4","195","May 8 1977","Temple"
"Al Sanders","1973","1973","F","6-7","240","January 1 1950","LSU"
"Frankie Sanders","1979","1981","F-G","6-6","200","January 23 1957","Southern University and A&M College"
"Jeff Sanders","1990","1993","F","6-8","225","January 14 1966","Georgia Southern University"
"Larry Sanders","2011","2017","C-F","6-11","235","November 21 1988","VCU"
"Melvin Sanders","2006","2006","G-F","6-5","210","January 3 1981","Seward County Community College Oklahoma State"
"Mike Sanders","1983","1993","F-G","6-6","210","May 7 1960","UCLA"
"Tom Sanders*","1961","1973","F","6-6","210","November 8 1938","NYU"
"Ron Sanford","1972","1972","F","6-9","215","June 11 1946","New Mexico"
"Daniel Santiago","2001","2005","C","7-1","256","June 24 1976","New Mexico Saint Vincent College"
"Bob Santini","1956","1956","F","6-5","190","February 17 1935","Iona College"
"Wayne Sappleton","1985","1985","F","6-9","215","November 17 1960","Loyola Chicago"
"Dario Šari?","2017","2021","F-C","6-10","225","April 8 1994",""
"Olivier Sarr","2022","2022","C","7-0","237","February 20 1999","Wake Forest Kentucky"
"Jason Sasser","1997","1999","F","6-7","225","January 13 1974","Texas Tech"
"Jeryl Sasser","2002","2003","G","6-6","200","February 13 1979","SMU"
"Tomáš Satoranský","2017","2022","G","6-7","210","October 30 1991",""
"Kenny Satterfield","2002","2003","G","6-2","186","April 10 1981","Cincinnati"
"Pep Saul","1950","1955","G-F","6-2","185","February 16 1924","Seton Hall"
"Woody Sauldsberry","1958","1966","F-C","6-7","220","July 11 1934","Texas Southern"
"Glynn Saulters","1969","1969","G","6-2","175","February 10 1945","Louisiana-Monroe"
"Fred Saunders","1975","1978","F","6-7","210","June 13 1951","Syracuse"
"Don Savage","1952","1957","F-G","6-3","205","April 9 1928","LeMoyne College"
"Predrag Savovi?","2003","2003","G","6-6","225","May 21 1976","UAB Hawaii"
"Alan Sawyer","1951","1951","F","6-5","195","January 1 1928","UCLA"
"Brian Scalabrine","2002","2012","F","6-9","241","March 18 1978","USC"
"Alex Scales","2006","2006","G","6-4","185","July 3 1978","Oregon"
"DeWayne Scales","1981","1984","F","6-8","208","December 28 1958","LSU"
"Frank Schade","1973","1973","G","6-1","170","January 22 1950","University of Wisconsin-Eau Claire"
"Ben Schadler","1948","1948","F","6-0","185","March 9 1924","Northwestern"
"Herm Schaefer","1949","1950","G-F","6-0","175","December 20 1918","Indiana"
"Billy Schaeffer","1974","1976","F","6-5","200","December 11 1951","St. John's"
"Bob Schafer","1956","1957","G","6-3","195","March 29 1933","Villanova"
"Jordan Schakel","2022","2022","F","6-6","200","June 13 1998","San Diego State"
"Ben Scharnus","1947","1949","F","6-2","173","December 11 1917","Seton Hall"
"Marv Schatzman","1950","1950","F","6-5","200","February 18 1927","Saint Louis"
"Fred Schaus","1950","1954","F","6-5","205","June 30 1925","West Virginia"
"Danny Schayes","1982","1999","C-F","6-11","235","May 10 1959","Syracuse"
"Dolph Schayes*","1950","1964","F-C","6-8","220","May 19 1928","NYU"
"Ossie Schectman","1947","1947","G","6-0","175","March 30 1919","Long Island University"
"Steve Scheffler","1991","1997","C-F","6-9","250","September 3 1967","Purdue"
"Tom Scheffler","1985","1985","C","6-11","240","October 27 1954","Purdue"
"Dave Schellhase","1967","1968","G","6-3","205","October 14 1944","Purdue"
"Luke Schenscher","2006","2007","C","7-1","255","December 31 1982","Georgia Tech"
"Herb Scherer","1951","1952","C","6-9","212","December 21 1928","Long Island University"
"Dwayne Schintzius","1991","1999","C","7-1","260","October 14 1968","Florida"
"Dale Schlueter","1969","1978","C","6-10","225","November 12 1945","Colorado State"
"Otto Schnellbacher","1949","1949","F-G","6-4","185","April 15 1923","Kansas"
"Dick Schnittker","1951","1958","F","6-5","200","May 27 1928","Ohio State"
"Russ Schoene","1983","1989","F-C","6-10","210","April 16 1960","Chattanooga"
"Admiral Schofield","2020","2022","G-F","6-5","241","March 30 1997","Tennessee"
"Dave Scholz","1970","1970","F","6-8","220","April 12 1948","Illinois"
"Milt Schoon","1947","1950","C","6-7","230","February 25 1922","Valparaiso"
"Detlef Schrempf","1986","2001","F-C","6-10","235","January 21 1963","Washington"
"Dennis Schröder","2014","2022","G","6-3","172","September 15 1993",""
"Howie Schultz","1950","1953","C-F","6-6","200","July 3 1922","Hamline University"
"Dick Schulz","1947","1950","F-G","6-2","192","January 3 1917","Wisconsin"
"Roger Schurig","1968","1968","G","6-3","185","April 3 1942","Vanderbilt"
"John Schweitz","1985","1987","G","6-6","210","April 19 1960","Richmond"
"Luis Scola","2008","2017","F","6-9","240","April 30 1980",""
"Fred Scolari","1947","1955","G","5-10","180","March 1 1922","San Francisco"
"Alvin Scott","1978","1985","F-G","6-7","185","September 14 1955","Oral Roberts"
"Brent Scott","1997","1997","F-C","6-10","250","June 15 1971","Rice University"
"Byron Scott","1984","1997","G","6-3","195","March 28 1961","Arizona State"
"Charlie Scott*","1971","1980","G-F","6-5","175","December 15 1948","UNC"
"Dennis Scott","1991","2000","F","6-8","229","September 5 1968","Georgia Tech"
"James Scott","1997","1997","F","6-6","180","June 6 1972","St. John's"
"Mike Scott","2013","2021","F","6-7","237","July 16 1988","Virginia"
"Ray Scott","1962","1972","F-C","6-9","215","July 12 1938","University of Portland"
"Shawnelle Scott","1997","2002","C","6-10","250","June 16 1972","St. John's"
"Tre Scott","2022","2022","F","6-8","225","November 25 1996","Cincinnati"
"Willie Scott","1970","1970","F","6-5","210","May 22 1947","Alabama State University"
"Paul Scranton","1968","1968","F","6-5","230","April 30 1944","Cal Poly Pomona"
"Jay Scrubb","2021","2022","G-F","6-5","220","September 1 2000","John A. Logan College"
"Carey Scurry","1986","1988","F","6-7","188","December 4 1962","Long Island University"
"Bruce Seals","1974","1978","F","6-8","210","June 18 1953","Xavier University of Louisiana"
"Shea Seals","1998","1998","G","6-5","210","August 26 1975","Tulsa"
"Malik Sealy","1993","2000","G","6-8","190","February 1 1970","St. John's"
"Ed Searcy","1976","1976","F","6-6","210","April 17 1952","St. John's"
"Kenny Sears","1956","1964","F","6-9","198","August 17 1933","Santa Clara"
"Wayne See","1950","1950","G","6-3","190","November 3 1923","Northern Arizona University"
"Thabo Sefolosha","2007","2020","G-F","6-6","215","May 2 1984",""
"Rony Seikaly","1989","1999","C","6-11","230","May 10 1965","Syracuse"
"Glen Selbo","1950","1950","G-F","6-3","196","March 29 1926","Wisconsin"
"Josh Selby","2012","2013","G","6-2","183","March 27 1991","Kansas"
"Wayne Selden","2017","2022","G-F","6-5","230","September 30 1994","Kansas"
"Brad Sellers","1987","1993","C-F","7-0","210","December 17 1962","Wisconsin Ohio State"
"Phil Sellers","1977","1977","F-G","6-4","195","November 20 1953","Rutgers University"
"Rollie Seltz","1950","1950","G-F","5-10","165","January 25 1924","Hamline University"
"Lester Selvage","1968","1970","G","6-1","175","March 7 1943","Truman State University"
"Frank Selvy","1955","1964","G-F","6-3","180","November 9 1932","Furman University"
"Jim Seminoff","1947","1950","G-F","6-2","190","September 1 1922","USC"
"Mouhamed Sene","2007","2009","C-F","6-11","230","May 12 1986",""
"George Senesky","1947","1954","G","6-2","179","April 4 1922","Saint Joseph's"
"Alperen ?engün","2022","2022","F","6-9","235","July 25 2002",""
"Kevin Séraphin","2011","2017","F","6-9","285","December 7 1989",""
"Ansu Sesay","2002","2005","F","6-9","225","July 29 1976","Ole Miss"
"Ramon Sessions","2008","2018","G","6-3","190","April 11 1986","Nevada"
"Ha Seung-Jin","2005","2006","C","7-3","305","August 4 1985",""
"Tom Sewell","1985","1985","G","6-5","185","March 11 1962","Lamar"
"Collin Sexton","2019","2022","G","6-1","190","January 4 1999","Alabama"
"Paul Seymour","1948","1960","G-F","6-1","180","January 30 1928","Toledo"
"Nick Shaback","1947","1947","G","5-11","180","September 10 1918",""
"Lynn Shackelford","1970","1970","F","6-5","190","August 27 1947","UCLA"
"Charles Shackleford","1989","1999","F-C","6-10","225","April 22 1966","NC State"
"Carl Shaeffer","1950","1951","F-G","6-3","185","October 25 1924","Alabama"
"Lee Shaffer","1962","1964","F","6-7","220","February 23 1939","UNC"
"Mustafa Shakur","2011","2014","G","6-3","190","August 18 1984","Arizona"
"Landry Shamet","2019","2022","G","6-4","190","March 13 1997","Wichita State"
"God Shammgod","1998","1998","G","6-0","169","April 29 1976","Providence"
"Earl Shannon","1947","1949","G-F","5-11","170","November 23 1921","Rhode Island"
"Howie Shannon","1949","1950","G-F","6-2","175","June 10 1923","University of North Texas Kansas State"
"Chuck Share","1952","1960","C","6-11","235","March 14 1927","Bowling Green"
"Bill Sharman*","1951","1961","G","6-1","175","May 25 1926","USC"
"Day'Ron Sharpe","2022","2022","C","6-11","265","November 6 2001","UNC"
"Walter Sharpe","2009","2009","F","6-9","245","July 18 1986","Mississippi State UAB"
"John Shasky","1989","1991","C","6-11","235","July 31 1964","Minnesota"
"Ron Shavlik","1957","1958","F","6-8","200","December 4 1933","NC State"
"Brian Shaw","1989","2003","G","6-6","190","March 22 1966","Saint Mary's UC Santa Barbara"
"Casey Shaw","1999","1999","C","6-11","260","July 20 1975","Toledo"
"Marial Shayok","2020","2020","G","6-5","198","July 26 1995","Virginia Iowa State"
"Bob Shea","1947","1947","F","6-2","194","September 11 1924","Rhode Island"
"Fred Sheffield","1947","1947","F","6-2","165","November 5 1923","Utah"
"Craig Shelton","1981","1982","F","6-7","210","May 1 1957","Georgetown"
"Lonnie Shelton","1977","1986","F-C","6-8","240","October 19 1955","Oregon State"
"Tornike Shengelia","2013","2014","F","6-9","217","October 5 1991",""
"Billy Shepherd","1973","1975","G","5-10","160","November 18 1949","Butler"
"Jeff Sheppard","1999","1999","G","6-3","190","September 29 1974","Kentucky"
"Steve Sheppard","1978","1979","F","6-6","215","March 21 1954","Maryland"
"Ed Sherod","1983","1983","G","6-2","170","September 13 1959","VCU"
"Charley Shipp","1950","1950","G-F","6-1","200","December 3 1913","Catholic University of America"
"Paul Shirley","2003","2005","F-C","6-10","230","December 23 1977","Iowa State"
"Gene Short","1976","1976","F","6-6","200","August 7 1953","Jackson State University"
"Purvis Short","1979","1990","F-G","6-7","210","July 2 1957","Jackson State University"
"Dexter Shouse","1990","1990","G","6-2","200","March 24 1963","University of South Alabama"
"Dick Shrider","1949","1949","G","6-2","190","February 7 1923","Ohio University"
"Gene Shue","1955","1964","G","6-2","170","December 18 1931","Maryland"
"John Shumate","1976","1981","F-C","6-9","235","April 6 1952","Notre Dame"
"Iman Shumpert","2012","2021","G","6-5","215","June 26 1990","Georgia Tech"
"Alexey Shved","2013","2015","G","6-6","190","December 16 1988",""
"Pascal Siakam","2017","2022","F","6-9","230","April 2 1994","New Mexico State"
"Jordan Sibert","2019","2019","G","6-4","187","August 1 1992","Ohio State Dayton"
"Sam Sibert","1973","1973","F","6-7","215","February 11 1949","Kentucky State University"
"Mark Sibley","1974","1974","G","6-2","175","November 13 1950","Northwestern"
"Jerry Sichting","1981","1990","G","6-1","168","November 29 1956","Purdue"
"Donald Sidle","1969","1972","F-C","6-8","215","June 21 1946","Oklahoma"
"Larry Siegfried","1964","1972","F","6-3","190","May 22 1939","Ohio State"
"Ralph Siewert","1947","1947","C","7-1","230","December 31 1923","Dakota Wesleyan University"
"Jack Sikma*","1978","1991","C-F","6-11","230","November 14 1955","Illinois Wesleyan University"
"James Silas","1973","1982","G","6-1","180","February 11 1949","Stephen F. Austin"
"Paul Silas","1965","1980","F-C","6-7","220","July 12 1943","Creighton"
"Xavier Silas","2012","2018","G","6-5","205","January 22 1988","Colorado Northern Illinois"
"Garret Siler","2011","2011","C","6-11","305","October 25 1986","Augusta State University"
"Mike Silliman","1971","1971","F","6-6","225","May 5 1944","United States Military Academy"
"Chris Silva","2020","2022","F","6-8","234","September 19 1996","South Carolina"
"Wayne Simien","2006","2007","F","6-9","255","March 9 1983","Kansas"
"Ben Simmons","2018","2021","G-F","6-11","240","July 20 1996","LSU"
"Bobby Simmons","2002","2012","G-F","6-7","210","June 2 1980","DePaul"
"Cedric Simmons","2007","2009","F","6-9","235","January 3 1986","NC State"
"Connie Simmons","1947","1956","C-F","6-8","222","March 15 1925",""
"Grant Simmons","1968","1969","G","6-3","190","March 7 1943","Nebraska"
"Johnny Simmons","1947","1947","G","6-1","184","July 7 1924","NYU"
"Jonathon Simmons","2016","2019","G-F","6-6","195","September 14 1989","Houston"
"Kobi Simmons","2018","2019","G","6-5","166","July 4 1997","Arizona"
"Lionel Simmons","1991","1997","F-G","6-7","210","November 14 1968","La Salle"
"Miles Simon","1999","1999","G","6-3","202","November 21 1975","Arizona"
"Walter Simon","1968","1974","F-G","6-6","200","December 1 1939","Benedict College"
"Marko Simonovic","2022","2022","C","6-11","216","October 15 1999",""
"Anfernee Simons","2019","2022","G","6-3","181","June 8 1999",""
"Dickey Simpkins","1995","2002","F","6-9","248","April 6 1972","Providence"
"Ralph Simpson","1971","1980","G-F","6-5","200","August 10 1949","Michigan State"
"Zavier Simpson","2022","2022","G","6-0","190","February 11 1997","Michigan"
"Alvin Sims","1999","1999","G","6-4","235","October 18 1974","Louisville"
"Bob Sims","1962","1968","G-F","6-5","220","October 9 1938","Pepperdine"
"Courtney Sims","2008","2009","C","6-10","245","October 21 1983","Michigan"
"Doug Sims","1969","1969","F","6-7","195","June 29 1943","Kent State University"
"Henry Sims","2013","2016","C","6-10","248","March 27 1990","Georgetown"
"Jericho Sims","2022","2022","F","6-10","245","October 20 1998","Texas"
"Scott Sims","1978","1978","G","6-1","170","April 18 1955","Missouri"
"Kyle Singler","2013","2018","F","6-8","228","May 4 1988","Duke"
"Sean Singletary","2009","2009","G","6-0","185","September 6 1985","Virginia"
"Chris Singleton","2012","2014","F","6-8","230","November 21 1989","Florida State"
"James Singleton","2006","2012","F","6-8","216","July 20 1981","Murray State"
"McKinley Singleton","1987","1987","G","6-5","175","October 29 1961","UAB"
"Zeke Sinicola","1952","1954","G","5-10","165","January 25 1929","Niagara University"
"Deividas Sirvydis","2021","2022","G-F","6-8","190","June 10 2000",""
"Charlie Sitton","1985","1985","F","6-8","210","July 3 1962","Oregon State"
"Peyton Siva","2014","2014","G","6-0","185","October 24 1990","Louisville"
"Scott Skiles","1987","1996","G","6-1","180","March 5 1964","Michigan State"
"Al Skinner","1975","1980","G","6-3","190","June 16 1952","UMass"
"Brian Skinner","1999","2012","F","6-9","255","May 19 1976","Baylor"
"Tal Skinner","1975","1976","F-G","6-5","195","September 10 1952","University of Maryland Eastern Shore"
"Whitey Skoog","1952","1957","G","5-11","180","November 2 1926","Minnesota"
"Jeff Slade","1963","1963","F","6-6","220","March 1 1941","Kenyon College"
"Reggie Slater","1995","2003","F","6-7","215","August 27 1970","Wyoming"
"Jim Slaughter","1952","1952","C","6-11","210","May 13 1928","South Carolina"
"Jose Slaughter","1983","1983","G","6-5","205","September 9 1960","University of Portland"
"Tamar Slay","2003","2005","G","6-8","215","April 2 1980","Marshall"
"Donald Sloan","2012","2016","G","6-3","205","January 15 1988","Texas A&M"
"Jerry Sloan*","1966","1976","G-F","6-5","195","March 28 1942","University of Evansville"
"Uroš Slokar","2007","2007","F","6-10","238","May 14 1983",""
"Tom Sluby","1985","1985","G","6-4","200","February 18 1962","Notre Dame"
"Alen Smailagi?","2020","2021","F","6-10","215","August 18 2000",""
"Javonte Smart","2022","2022","G","6-4","205","June 3 1999","LSU"
"Keith Smart","1989","1989","G","6-1","175","September 21 1964","Indiana"
"Marcus Smart","2015","2022","G","6-3","220","March 6 1994","Oklahoma State"
"Belus Smawley","1947","1952","G-F","6-1","195","March 20 1918","Appalachian State University"
"Jack Smiley","1949","1950","F-G","6-3","190","December 22 1922","Illinois"
"Adrian Smith","1962","1972","G","6-1","180","October 5 1936","Kentucky"
"Al Smith","1972","1976","G","6-1","185","January 15 1947","Bradley"
"Bill Smith","1962","1962","G-F","6-5","190","April 26 1939","Saint Peter's College"
"Bingo Smith","1970","1980","F-G","6-5","195","February 26 1946","Tulsa"
