Name,Developer,Producer,Genre,Operating System,Date Released
Planetarian: The Reverie of a Little Planet,Key,"VisualArt's, KineticNovel",Visual novel,Microsoft Windows,"November 29, 2004"
Planetary Annihilation,Uber Entertainment,Uber Entertainment,RTS,"Microsoft Windows, Linux, macOS","September 5, 2014"
PlanetSide,Sony Online Entertainment,Sony Online Entertainment,MMOFPS,Microsoft Windows,"May 20, 2003"
PlanetSide 2,Sony Online Entertainment,Sony Online Entertainment,MMOFPS,Microsoft Windows,"November 12, 2012"
Playboy: The Mansion,Cyberlore Studios,"Arush Entertainment, Groove Games",Business simulation game,Microsoft Windows,"March 4, 2005"
PlayerUnknown's Battlegrounds,"PUBG Corporation, Lightspeed & Quantum Studios (mobile)","PUBG Corporation (Windows), Microsoft Studios (Xbox One), Tencent Games (mobile)","Multiplayer online game, Battle royale game",Microsoft Windows,"December 12, 2017"
Pokemon Planet,Brody,Brody,MMORPG,"Microsoft Windows, OS X, Linux",2014
Pokémon TCG Online,Dire Wolf Digital,The Pokémon Company,Digital collectible card game,"Microsoft Windows, OS X","March 24, 2011"
Police Quest: SWAT 2,Yosemite Entertainment,Sierra FX,Real-time tactics,Microsoft Windows,"July 11, 1998"
Pony Island,Daniel Mullins Games,Daniel Mullins Games,Indie,Microsoft Windows,"January 4, 2016"
Pool of Radiance,"Strategic Simulations, Inc.","Strategic Simulations, Inc., Pony Canyon (PC9800, X1)","Fantasy, RPG","MS-DOS, Amiga, Apple II, Commodore 64, PC-9800 series, X1",1988
Pools of Darkness,"Strategic Simulations, Inc., MicroMagic, Inc., Marionette (PC9800)","Strategic Simulations, Inc., Pony Canyon (PC9800)","Fantasy, RPG","Microsoft Windows, macOS, Amiga, PC-9800 series",1991
Poptropica,Jeff Kinney Group,Jeff Kinney Group,Virtual World,"Microsoft Windows, Linux, macOS",July 2007
Portal,Valve,"Valve, Microsoft Game Studios",Puzzle-platform game,"Microsoft Windows, Linux, macOS","October 10, 2007"
Portal 2,Valve,Valve,Puzzle-platform game,"Microsoft Windows, Linux, macOS","April 19, 2011"
Postal,Running with Scissors,Running with Scissors,Top-down shooter,"Android, Microsoft Windows, Mac OS, OS X, Linux","November 14, 1997"
Postal 2,Running with Scissors,Running with Scissors,First-person shooter,"Microsoft Windows, Linux, OS X","April 13, 2003"
Postal III,Running with Scissors,Akella,Third-person shooter,Microsoft Windows,"November 23, 2011"
Postal Redux,Running with Scissors,Running with Scissors,Shoot 'em up,Microsoft Windows,"May 20, 2016"
PP: Pianissimo,Innocent Grey,Innocent Grey,Mystery,Microsoft Windows,"September 29, 2009"
Prince of Persia: The Sands of Time,Ubisoft Montreal,Ubisoft,"Action-adventure, puzzle-platformer, hack and slash",Microsoft Windows,"November 6, 2003"
Prince of Persia: Warrior Within,"Ubisoft Montreal, Pipeworks Software, Gameloft","Ubisoft, Gameloft","Action-adventure, platform, hack and slash",Microsoft Windows,"November 30, 2004"
Prison Architect,Introversion Software,Introversion Software,Construction and management simulation,"Microsoft Windows, Linux, macOS","October 6, 2015"
Project I.G.I.,Innerloop Studios,Eidos Interactive,Stealth game,Microsoft Windows,"December 15, 2000"
Project Zomboid,The Indie Stone,The Indie Stone,"Role-playing, survival horror","Microsoft Windows, Linux, macOS","November 8, 2013"
Quake,id Software,GT Interactive,First-person shooter,"MS-DOS, Linux, macOS","June 22, 1996"
Quake II,"id Software, Logicware, Raster Productions, Hammerhead","Activision, Macmillan Digital Publishing USA",First-person shooter,"Microsoft Windows, Linux, macOS, Amiga","December 9, 1997"
Quake III Arena,"id Software, Raster Productions, Bullfrog Productions, Pi Studios","Activision, Loki Software, Sega, Electronic Arts",First-person shooter,"Microsoft Windows, Linux, macOS, Amiga","December 2, 1999"
Quake 4,"Raven Software, id Software",Activision Bethesda Softworks,First-person shooter,"Microsoft Windows, Linux, macOS","October 18, 2005"
Rage,id Software,Bethesda Softworks,"First-person shooter, action-adventure, vehicular combat, racing",Microsoft Windows,"October 4, 2011"
Railroad Tycoon,MicroProse,MicroProse,Business simulation,"MS-DOS, Amiga, macOS, Atari ST",1990
Railroad Tycoon 3,PopTop Software,Gathering of Developers,Business simulation,"Microsoft Windows, macOS","October 27, 2003"
Rayman,Ubisoft,Ubisoft,Platformer,MS-DOS,"April 30, 1996"
Rayman 2: The Great Escape,Ubisoft,Ubisoft,Platformer,Microsoft Windows,"October 31, 1999"
Rayman 3: Hoodlum Havoc,Ubisoft,Ubisoft,Platformer,Microsoft Windows,"March 24, 2003"
Rayman Legends,Ubisoft,Ubisoft,Platformer,Microsoft Windows,"September 3, 2013"
Rayman M/Arena,Ubisoft,Ubisoft,Party,Microsoft Windows,"August 31, 2002"
Rayman Origins,Ubisoft,Ubisoft,Platformer,Microsoft Windows,"March 29, 2012"
Recettear: An Item Shop's Tale,EasyGameStation,Carpe Fulgur,RPG,Microsoft Windows,"September 10, 2010"
Rec Room,Against Gravity,Against Gravity,"Action RPG, first-person shooter",Microsoft Windows,"June 28, 2016"
Red Orchestra: Ostfront 41-45,Tripwire Interactive,Bold Games,"Tactical shooter, first-person shooter","Microsoft Windows, Linux, macOS","March 14, 2006"
Red Dead Redemption 2,Rockstar Studios,Rockstar Games,Action-adventure,Microsoft Windows,"November 5, 2019"
Red Orchestra 2: Heroes of Stalingrad,Tripwire Interactive,1C Company,"Tactical shooter, first-person shooter",Microsoft Windows,"September 13, 2011"
Redshirt,The Tiniest Shark,Positech Games,Simulation game,Microsoft Windows,"November 13, 2013"
Resident Evil,Capcom,Capcom,Survival horror,Microsoft Windows,"March 22, 1996"
Resident Evil 2,Capcom,Capcom,Survival horror,Microsoft Windows,"January 21, 1998"
Resident Evil 3: Nemesis,Capcom,Capcom,Survival horror,Microsoft Windows,"September 22, 1999"
Resident Evil 4,Capcom Production Studio 4,Capcom,Survival horror,Microsoft Windows,"January 11, 2005"
Resident Evil 5,Capcom,Capcom,"Action-adventure, third-person shooter",Microsoft Windows,"March 5, 2009"
Resident Evil 6,Capcom,Capcom,"Action-adventure, third-person shooter",Microsoft Windows,"October 2, 2012"
Resident Evil: Operation Raccoon City,"Slant Six Games, Capcom",Capcom,"Action-adventure, third-person shooter",Microsoft Windows,"March 20, 2012"
Resident Evil: Revelations,Capcom Tose Co. Ltd,Capcom,"Action, survival horror",Microsoft Windows,"January 26, 2012"
Resident Evil: Revelations 2,Capcom,Capcom,"Action, survival horror",Microsoft Windows,"February 24 2015; March 3, 2015; March 10, 2015; March 17, 2015"
Retrobooster,Really Slick,Really Slick,"Action, arcade, multidirectional shooter","Microsoft Windows, Linux","February 21, 2014"
Return of the Obra Dinn,3909 LLC,3909 LLC,"Adventure, Puzzle","Microsoft Windows, macOS","October 18, 2018"
Return to Monkey Island,Adventure,Terrible Toybox,Devolver Digital,Microsoft Windows,2022
Richard Burns Rally,Warthog Games,SCi Games,Racing game,Microsoft Windows,"July 9, 2004"
Ride,Milestone srl,Milestone srl,Racing game,Microsoft Windows,"March 27, 2015"
RimWorld,Ludeon Studios,Ludeon Studios,Construction and management simulation,"Microsoft Windows, Linux, macOS","October 17, 2018; October 17, 2018"
Rise of Nations,Big Huge Games,Microsoft Game Studios,Real-time strategy,"Microsoft Windows, macOS","May 20, 2003"
Rise of Nations: Rise of Legends,Big Huge Games,Microsoft Game Studios,Real-time strategy,"Microsoft Windows, macOS","May 9, 2006"
Rise of Nations: Thrones and Patriots,Big Huge Games,Microsoft Game Studios,Real-time strategy,"Microsoft Windows, macOS","April 21, 2004"
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,Action-adventure,Microsoft Windows,"January 28, 2016"
Robot Roller-Derby Disco Dodgeball,Erik Asmussen,82 Apps,First-person shooter,"Microsoft Windows, Linux, macOS","March 28, 2014"
Roblox,Roblox Corporation,Roblox Corporation,Sandbox,Microsoft Windows,"September 1, 2006"
Rock 'n' Roll Adventures,Data Design Interactive,Data Design Interactive,Platform,Microsoft Windows,"September 17, 2007"
Rocket League,Psyonix,Psyonix,Vehicular Soccer,Microsoft Windows,"July 7, 2015"
RollerCoaster Tycoon,Chris Sawyer Productions,"Hasbro Interactive, MicroProse",Simulation game,Microsoft Windows,"March 31, 1999"
RollerCoaster Tycoon 2,Chris Sawyer Productions,Infogrames,Simulation game,Microsoft Windows,"October 15, 2002"
RollerCoaster Tycoon 3,Frontier Developments,Atari,Simulation game,"Microsoft Windows, macOS","October 26, 2004"
Rome: Total War,The Creative Assembly,Sega,Turn-based strategy,"Microsoft Windows, macOS","November 22, 2004"
Rome: Total War: Alexander,"The Creative Assembly, Feral Interactive","Activision, Sega, Feral Interactive",Turn-based strategy,"Microsoft Windows, macOS","June 19, 2006"
Rome: Total War: Barbarian Invasion,The Creative Assembly,"Activision, Sega",Turn-based strategy,"Microsoft Windows, macOS","September 27, 2005"
Roundabout,No Goblin LLC,No Goblin LLC,Open-world driving game,"Microsoft Windows, OS X, Linux","September 18, 2014"
RuneScape,Jagex,Jagex,MMORPG,"Microsoft Windows, Linux, macOS","January 4, 2001"
Rust,Facepunch Studios,Facepunch Studios,Open world,"Microsoft Windows, Linux, macOS","December 11, 2013"
Ryse: Son of Rome,Crytek,"Microsoft Studios, Crytek","Action-adventure, hack and slash",Microsoft Windows,"October 10, 2014"
Sacred,Ascaron,"Encore, Koch Media, Red Ant Enterprises",Action RPG,"Microsoft Windows, Linux","March 19, 2004"
The Sacred Hero,SiMPLiSTiC,SiMPLiSTiC,RPG,"Microsoft Windows, Linux",TBA
Saints Row 2,"Volition, CD Projekt (Windows)",THQ,"Action-adventure, open world",Microsoft Windows,"January 5, 2009"
Saints Row: The Third,Volition,THQ,"Action-adventure, open world",Microsoft Windows,"November 15, 2011"
Saints Row IV,Volition,"Deep Silver, Spike Chunsoft","Action-adventure, open world",Microsoft Windows,"August 20, 2013"
Sands of Salzaar,Han-Squirrel Studio,XD,"Action RPG, strategy, open world",Microsoft Windows,"December 16, 2021"
Scrapland,Mercury Steam Entertainment,"Deep Silver, Enlight Software",Action-adventure,Microsoft Windows,"November 4, 2004"
Scrolls,Mojang,Mojang,Tactical CCG,"Microsoft Windows, macOS","November 11, 2014"
Secret of the Silver Blades,"Strategic Simulations, Inc.","Strategic Simulations, Inc., Pony Canyon, Inc.","Fantasy, RPG","DOS, macOS, Commodore 64, Amiga, NEC PC-9801","October 20, 1990"
The Secret World,Funcom,Electronic Arts,MMORPG,Microsoft Windows,"July 3, 2012"
Sengoku,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS","September 13, 2011"
The Settlers,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy","Amiga, MS-DOS","June 30, 1993"
The Settlers II,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy","MS-DOS, Macintosh","April 17, 1996"
The Settlers III,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy",Microsoft Windows,"November 20, 1998"
The Settlers IV,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy","Microsoft Windows,","February 15, 2001"
The Settlers: Heritage of Kings,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,"November 25, 2004"
The Settlers II (10th Anniversary),Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,"November 7, 2006"
The Settlers: Rise of an Empire,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,"November 28, 2007"
The Settlers: Awakening of Cultures,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,"August 28, 2008"
The Settlers 7: Paths to a Kingdom,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy","Microsoft Windows, macOS","March 25, 2010"
Shadow of the Tomb Raider,Eidos Montréal,Square Enix,action-adventure,Microsoft Windows,"September 14, 2018"
The Ship,Outlight,Outlight,First-person shooter,Microsoft Windows,"April 9, 2007"
Shogun: Total War,The Creative Assembly,"Electronic Arts, Sega, Sold-Out Software","Turn-based strategy, real-time tactics",Microsoft Windows,"June 13, 2000"
ShootMania Storm,Nadeo,Ubisoft,First-person shooter,Microsoft Windows,"April 10, 2013"
Sid Meier's Railroads!,"Firaxis Games, Feral Interactive","2K Games, Feral Interactive",Business simulation,"Microsoft Windows, macOS","October 17, 2006"
Silent Hunter,Aeon Electronic Entertainment,Strategic Simulations,Submarine simulator,DOS,1996
Silent Hunter II,Aeon Electronic Entertainment,Ubisoft,Submarine simulator,Microsoft Windows,"November 6, 2001"
Silent Hunter III,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,"March 15, 2005"
Silent Hunter 4: Wolves of the Pacific,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,"March 20, 2007"
Silent Hunter 5: Battle of the Atlantic,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,"March 2, 2010"
Silkroad Online,Joymax,"Joymax, Yahoo!",MMORPG,Microsoft Windows,2004
Silver,Spiral House,Infogrames,Action RPG,Microsoft Windows,1999
SimCity,Maxis,Electronic Arts,City-building,"Microsoft Windows, macOS","March 5, 2013"
SimCity 2000,Maxis,Electronic Arts,City-building,"Microsoft Windows, Various",1994
SimCity 3000,Maxis,Electronic Arts,City-building,"Microsoft Windows, Linux, macOS","January 31, 1999"
SimCity 4,Maxis,"Electronic Arts, Aspyr Media",City-building,"Microsoft Windows, macOS","January 14, 2003"
SimCity Societies,Tilted Mill Entertainment,Electronic Arts,City-building,Microsoft Windows,"November 13, 2007"
The Sims,"Edge of Reality, Maxis",Electronic Arts,Life simulation,"Microsoft Windows, Mac OS, OS X, Linux","February 11, 2000"
The Sims 2,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","September 14, 2004"
The Sims 2: Apartment Life,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","August 25, 2008"
The Sims 2: Bon Voyage,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","September 4, 2007"
The Sims 2: FreeTime,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","February 22, 2008"
The Sims 2: Nightlife,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","September 13, 2005"
The Sims 2: Open for Business,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","March 6, 2006"
The Sims 2: Seasons,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","February 23, 2007"
The Sims 2: University,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","March 11, 2005"
The Sims 3,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","June 2, 2009"
The Sims 3: Generations,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","May 31, 2011"
The Sims 3: Into the Future,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","October 22, 2013"
The Sims 3: Island Paradise,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","June 25, 2013"
The Sims 3: Late Night,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","October 26, 2010"
The Sims 3: Seasons,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","November 13, 2012"
The Sims 3: Showtime,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","March 6, 2012"
The Sims 3: Supernatural,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","September 4, 2012"
The Sims 3: University Life,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","March 5, 2013"
The Sims: Hot Date,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","November 14, 2001"
The Sims: House Party,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","April 2, 2001"
The Sims: Livin' Large,Maxis,"Electronic Arts, Aspyr",Life simulation,"Microsoft Windows, macOS","August 27, 2000"
The Sims: Makin' Magic,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","October 29, 2003"
The Sims: Superstar,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","May 13, 2003"
The Sims: Unleashed,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","January 7, 2002"
The Sims: Vacation,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS","March 28, 2002"
Sins of a Solar Empire,Ironclad Games,Stardock,RTS,Microsoft Windows,2008
Sleeping Dogs,United Front Games,Square Enix,Action-adventure,Microsoft Windows,"September 14, 2012"
Smite,Hi-Rez Studios,Hi-Rez Studios,MOBA,Microsoft Windows,"March 25, 2014"
Sonic Heroes,Sonic Team USA,Sega,platform,Microsoft Windows,"December 5, 2003"
Sonic & Knuckles Collection,Sega PC,Sega,"platform, compilation",Microsoft Windows,1997
Space Engineers,Keen Software House,Keen Software House,"Sandbox, simulation",Microsoft Windows,"October 23, 2013"
Space Station 13,SS13 Development Team,SS13 Development Team,MMORPG,Microsoft Windows,"February 16, 2003"
SpaceChem,Zachtronics Industries,Zachtronics Industries,Puzzle,"Microsoft Windows, Linux, macOS","January 1, 2011"
Spore,Maxis,Electronic Arts,Life simulation,Microsoft Windows,"September 7, 2008"
Spore Galactic Adventures,Maxis,Electronic Arts,Life simulation,Microsoft Windows,"June 23, 2009"
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,Viva Media,First-person shooter,Microsoft Windows,"February 2, 2010"
S.T.A.L.K.E.R.: Clear Sky,GSC Game World,Deep Silver,First-person shooter,Microsoft Windows,"September 15, 2008"
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,THQ,First-person shooter,Microsoft Windows,"March 20, 2007"
The Stanley Parable,Galactic Cafe,Galactic Cafe,Interactive fiction,"Microsoft Windows, Linux, macOS","October 17, 2013"
The Sting!,Neo Software,JoWooD Entertainment,"Strategy, adventure",Microsoft Windows,"July 1, 2001"
Starbound,Chucklefish,Chucklefish,"Action-adventure, first-person shooter","Microsoft Windows, OS X, Linux","July 22, 2016"
Star Citizen,Cloud Imperium Games Corporation,Cloud Imperium Games Corporation,"Space trading and combat simulator, first-person shooter","Microsoft Windows, Linux",TBA
Star Trek Online,Cryptic Studios,Perfect World Entertainment,MMORPG,"Microsoft Windows, macOS","February 2, 2010"
Star Wars: Empire At War,Petroglyph Games,LucasArts,Real-time strategy,"Microsoft Windows, macOS","February 16, 2006"
Star Wars Galaxies,Sony Online Entertainment,"Electronic Arts, LucasArts",MMORPG,Microsoft Windows,"February 17, 2006"
Star Wars: Knights of the Old Republic,BioWare,LucasArts,RPG,"Microsoft Windows, macOS","November 19, 2003"
Star Wars: Knights of the Old Republic II – The Sith Lords,Obsidian Entertainment,LucasArts,RPG,"Microsoft Windows, Linux, macOS","February 8, 2005"
Star Wars: Republic Commando,"LucasArts, Magellan Interactive",THQ Wireless,"Tactical shooter, first-person shooter","Xbox, Microsoft Windows","February 17, 2005"
Star Wars: The Old Republic,BioWare,"Electronic Arts, LucasArts",MMORPG,Microsoft Windows,"December 20, 2011"
Star Wars: TIE Fighter,Lucasarts,Lucasarts,Flight simulation,"DOS, Windows 9x, Linux, macOS","July 1, 1994"
Star Wars: X-Wing,Lucasarts,Lucasarts,Flight simulation,"DOS, macOS","February 1, 1993"
StarCraft,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS","March 31, 1998"
StarCraft: Brood War,Blizzard Entertainment Saffire,Blizzard Entertainment,RTS,"Microsoft Windows, macOS","November 30, 1998"
StarCraft II: Heart of the Swarm,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS","March 12, 2013"
StarCraft II: Legacy of the Void,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS","November 10, 2015"
StarCraft II: Wings of Liberty,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS","July 27, 2010"
Stardew Valley,Eric Barone,"ChuckleFish, ConcernedApe","Farming simulation, RPG","Microsoft Windows, OS X, Linux","February 26, 2016"
StarDrive,Zero Sum Games,Iceberg Interactive,"4X, strategy",Microsoft Windows,"April 26, 2013"
Starsector,Fractal Softworks,Fractal Softworks,"4X, strategy, action RPG","Microsoft Windows, Linux, macOS","April 26, 2013"
Starsiege: Tribes,Dynamix,Sierra On-Line,First-person shooter,Microsoft Windows,"December 23, 1998"
State of Decay,Undead Labs,Microsoft Studios,"Stealth, survival horror, RPG, third-person shooter, simulation",Microsoft Windows,"November 5, 2013"
Stellar Monarch,Silver Lemur Games,Silver Lemur Games,"4X, strategy",Microsoft Windows,"December 5, 2016"
Street Racing Syndicate',Eutechnyx,Namco,Racing,Windows,"October 4, 2005"
Stronghold,"Firefly Studios, MacSoft","Take 2 Interactive, God Games",RTS,"Microsoft Windows, macOS","October 19, 2001"
Stronghold 2,Firefly Studios,2K Games,RTS,Microsoft Windows,"April 18, 2005"
Stronghold 3,Firefly Studios,7Sixty Games,RTS,"Microsoft Windows, Linux, macOS","October 25, 2011"
Stronghold: Crusader,Firefly Studios,"Take 2 Interactive, God Games",RTS,Microsoft Windows,"July 31, 2002"
Stronghold: Crusader Extreme,Firefly Studios,Gamecock Media Group,RTS,Microsoft Windows,"May 27, 2008"
Stronghold Kingdoms,Firefly Studios,Firefly Studios,RTS,Microsoft Windows,"October 17, 2012"
Stronghold Legends,Firefly Studios,2K Games,RTS,Microsoft Windows,"October 13, 2006"
Sunset Overdrive,Insomniac Games,Microsoft Studios,"Action-adventure, third-person shooter",Microsoft Windows,"November 16, 2018"
Super Meat Boy,Team Meat,Team Meat,Platformer,"Microsoft Windows, Linux, macOS","April 5, 2011"
Supreme Commander,Gas Powered Games,THQ,RTS,Microsoft Windows,"February 16, 2007"
Surf's Up,"Ubisoft Montreal, Ubisoft Quebec, Totally Games","Ubisoft, Sony Computer Entertainment America",Sports,"Mac OS X, Microsoft Windows","May 30, 2007"
SWAT 3: Close Quarters Battle,Sierra Northwest,Sierra Entertainment,"First-person shooter, tactical shooter",Microsoft Windows,"November 23, 1999"
SWAT 4,Irrational Games,"Vivendi Universal Games, Sierra Entertainment","First-person shooter, tactical shooter","Microsoft Windows, macOS","April 5, 2005"
System Shock,Looking Glass Studios,Origin Systems,"Action-adventure, RPG","DOS, macOS","October 22, 1994"
System Shock 2,"Irrational Games, Looking Glass Studios",Electronic Arts,"Action RPG, survival horror","Microsoft Windows, Linux, macOS","August 11, 1999"
Tanarus,Verant Interactive,Sony Interactive Studios America,First-person shooter,Microsoft Windows,"December 12, 1997"
Transport Tycoon,Chris Sawyer Productions,MicroProse,Business simulation game,"MS-DOS, Mac","June 15, 1994"
Team Fortress 2,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","October 9, 2007"
Team Fortress Classic,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","April 7, 1999"
Terraria,Re-Logic,"Re-Logic, 505 Games, Spike Chunsoft","Action-adventure, survival",Microsoft Windows,"May 16, 2011"
Thomas Was Alone,Mike Bithell,Mike Bithell,Puzzle-platformer,"Microsoft Windows, Linux, OS X","June 30, 2012"
The Adventures of Fatman,SOCKO! Entertainment,SOCKO! Entertainment,Point-and-click adventure,Microsoft Windows,May 2003
The Adventures of Lomax,Psygnosis,Psygnosis,2D platformer,Microsoft Windows,"October 22, 1996"
The Binding of Isaac: Rebirth,Edmund McMillen,Nickels Inc,Roguelike,Microsoft Windows,"November 14, 2014"
The Lord of the Rings Online,"Turbine, Inc.","Turbine, Inc.",MMORPG,"Microsoft Windows, macOS","April 27, 2007"
The Matrix Online,Monolith Productions,"Sega, Warner Bros. Interactive Entertainment",Massively multiplayer online role-playing game,Microsoft Windows,"March 22, 2005"
The Punisher (2005 video game),Volition,THQ,"Action, third-person shooter",Microsoft Windows,"April 12, 2004"
Thief,Eidos Montréal,Square Enix,Stealth,Microsoft Windows,"February 25, 2014"
Thief II: The Metal Age,Looking Glass Studios,Eidos Interactive,Stealth,Microsoft Windows,"March 23, 2000"
Thief: The Dark Project,Looking Glass Studios,Eidos Interactive,Stealth,Microsoft Windows,"November 30, 1998"
Thief: Deadly Shadows,Ion Storm,Eidos Interactive,Stealth,Microsoft Windows,"May 25, 2004"
Titan Quest,Iron Lore Entertainment,THQ,RPG,Microsoft Windows,"June 26, 2006"
Tom Clancy’s Rainbow Six Siege,Ubisoft,Ubisoft,First-person shooter,Microsoft Windows,"December 1, 2015"
Tom Clancy's Splinter Cell,"Ubisoft Montreal, Ubisoft Shanghai, Gameloft","Ubisoft, Gameloft, Aspyr Media",Stealth,"Microsoft Windows, macOS","November 17, 2002"
Tom Clancy's Splinter Cell: Blacklist,"Ubisoft Toronto, Ubisoft Montreal, Ubisoft Shanghai",Ubisoft,"Action-adventure, stealth",Microsoft Windows,"August 20, 2013"
Tom Clancy's Splinter Cell: Chaos Theory,"Gameloft, Ubisoft Montreal",Gameloft Ubisoft,Stealth,Microsoft Windows,"March 21, 2005"
Tom Clancy's Splinter Cell: Conviction,"Ubisoft Montreal, Gameloft","Ubisoft, Gameloft","Action-adventure, stealth","Microsoft Windows, macOS","April 13, 2010"
Tom Clancy's Splinter Cell: Double Agent,"Ubisoft Shanghai, Ubisoft Montreal, Ubisoft Milan",Ubisoft,Stealth,Microsoft Windows,"October 17, 2006"
Tom Clancy's Splinter Cell: Pandora Tomorrow,"Ubisoft Shanghai, Ubisoft Milan, Ubisoft Annecy, Gameloft",Ubisoft,Stealth,Microsoft Windows,"March 23, 2004"
Tomb Raider,Core Design,Eidos Interactive,Action-adventure,MS-DOS,"November 14, 1996"
Tomb Raider II,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","November 24, 1997"
Tomb Raider III,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","November 20, 1998"
Tomb Raider: The Last Revelation,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","November 24, 1999"
Tomb Raider: Chronicles,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","November 24, 2000"
Tomb Raider: The Angel of Darkness,Core Design,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","June 30, 2003"
Tomb Raider: Legend,Crystal Dynamics,Eidos Interactive,Action-adventure,Microsoft Windows,"April 7, 2006"
Tomb Raider: Anniversary,Crystal Dynamics,Eidos Interactive,Action-adventure,"Microsoft Windows, macOS","June 1, 2007"
Tomb Raider: Underworld,Crystal Dynamics,Eidos Interactive,Action-adventure,Microsoft Windows,"November 18, 2008"
Tomb Raider (2013),Crystal Dynamics,Square Enix,Action-adventure,"Microsoft Windows, macOS","March 5, 2013"
Torchlight,Runic Games,Runic Games,"Action RPG, hack and slash","Microsoft Windows, Linux, macOS","October 27, 2009"
Torchlight II,Runic Games,Runic Games,"Action RPG, hack and slash","Microsoft Windows, Linux, macOS","September 20, 2012"
Total Annihilation,Cavedog Entertainment,GT Interactive,RTS,"Microsoft Windows, macOS","September 30, 1997"
Total War: Rome II,The Creative Assembly,Sega,RTS,"Microsoft Windows, macOS","September 3, 2013"
Total War: Shogun 2,The Creative Assembly,Sega,RTS,"Microsoft Windows, macOS","April 15, 2011"
TrackMania 2: Canyon,Nadeo,Ubisoft,Racing,Microsoft Windows,"September 14, 2011"
TrackMania Forever,Nadeo,"Deep Silver, Enlight, Focus Home Interactive, Digital Jesters",Racing,Microsoft Windows,"April 15, 2008"
TrackMania Nations ESWC,Nadeo,"Deep Silver, Enlight, Focus Home Interactive, Digital Jesters",Racing,Microsoft Windows,"January 28, 2006"
TrackMania Nations Forever,Nadeo,"Focus Home Interactive, Valve",Racing,Microsoft Windows,"April 16, 2008"
TrackMania Sunrise,Nadeo,"Digital Jesters, Enlight",Racing,Microsoft Windows,April 2005
TrackMania United,Nadeo,"Deep Silver, Enlight, Buka, QV Software, Valve",Racing,Microsoft Windows,"November 17, 2006"
Train Simulator,Dovetail Games,Dovetail Games,Simulation,Microsoft Windows,2009
